Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"1,221,942","4,209,830","4,235,554","7,168,287","902,887","989,595","1,149,731","659,855","1,377,978","1,346,339","20,806,368","21,232,620"
Investments,"1,779,445,710","1,641,644,245","1,913,045,886","2,421,126,304","1,979,867,635","2,308,262,708","1,620,947,392","1,483,195,428","1,251,249,511","1,151,160,268","1,330,272,977","3,686,074,261"
Fixed Assets,"476,086,870","485,306,147","381,270,208","373,686,528","359,859,663","374,781,788","266,235,017","281,676,115","310,131,410","338,772,046","380,721,825","247,556,004"
Cash in Hand and Bank,"13,440,272","23,014,578","15,534,837","11,144,714","12,743,292","13,178,360","38,227,840","2,846,710","4,350,469","5,173,592","4,088,862","21,659,485"
Current Assets,"2,029,727,421","1,892,394,702","2,167,652,444","2,654,035,369","2,186,126,018","2,500,762,222","1,768,812,273","1,592,159,485","1,307,030,474","1,245,271,172","1,458,752,354","3,846,876,059"
Total Assets,"2,562,025,282","2,435,726,101","2,599,123,128","3,074,007,521","2,586,123,560","2,915,525,765","2,074,077,058","2,017,620,042","1,763,017,981","1,734,610,584","2,014,806,742","4,277,221,792"
Total Non Current Liabilities,"264,907,566","34,634,633","19,098,240","82,222,385","78,367,529","94,155,252","35,772,863","107,511,541","299,066,134","434,931,003","561,783,633","649,309,519"
Total Current Liabilities,"482,329,931","250,414,392","235,023,292","226,430,571","200,006,241","177,847,979","120,179,739","552,840,229","584,727,586","728,049,115","1,016,539,568","1,676,861,347"
Total Liabilities,"747,237,497","285,049,025","254,121,532","308,652,956","278,373,770","272,003,231","155,952,602","660,351,770","883,793,720","1,162,980,118","1,578,323,201","2,326,170,866"
Paid Up Capital,"617,742,560","801,718,180","801,718,180","801,718,180","801,718,180","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000"
Reserves,"1,197,045,225","950,017,823","1,360,224,565","1,772,021,526","1,305,860,739","1,449,702,617","797,663,050","230,207,694","-257,735,078","-571,928,047","-713,674,146","908,779,991"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,814,787,785","2,150,677,076","2,345,001,596","2,765,354,565","2,307,749,790","2,643,522,534","1,918,124,456","1,357,268,272","879,224,261","571,630,466","436,483,541","1,951,050,926"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"61,774,256","80,171,818","80,171,818","80,171,818","80,171,818","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000"
Surplus On Revaluation of Assets,0,"398,941,073","183,058,851","191,614,859","200,170,871","193,819,917","120,461,406","127,060,578","136,959,339","143,558,513","150,157,687","42,270,935"
